"Indicators","Risks","Count","Proportion"
"asd_exp","Low risk of bias",14,0.0740740740740741
"asd_exp","Unclear risk of bias",7,0.037037037037037
"boundedness","High risk of bias",14,0.0740740740740741
"boundedness","Low risk of bias",2,0.0105820105820106
"boundedness","Unclear risk of bias",5,0.0264550264550265
"design_type","High risk of bias",16,0.0846560846560847
"design_type","Low risk of bias",5,0.0264550264550265
"funding","High risk of bias",10,0.0529100529100529
"funding","Low risk of bias",7,0.037037037037037
"funding","Unclear risk of bias",4,0.0211640211640212
"incomplete_outcome_data","Low risk of bias",21,0.111111111111111
"peer_reviewed","High risk of bias",1,0.00529100529100529
"peer_reviewed","Low risk of bias",18,0.0952380952380952
"peer_reviewed","Unclear risk of bias",2,0.0105820105820106
"proximity_distality","High risk of bias",15,0.0793650793650794
"proximity_distality","Low risk of bias",2,0.0105820105820106
"proximity_distality","Unclear risk of bias",4,0.0211640211640212
"reporters_familiarity","Low risk of bias",10,0.0529100529100529
"reporters_familiarity","Unclear risk of bias",11,0.0582010582010582
"same_setting","Low risk of bias",19,0.100529100529101
"same_setting","Unclear risk of bias",2,0.0105820105820106
