"Indicators","Risks","Count","Proportion"
"asd_exp","Low risk of bias",8,0.0740740740740741
"asd_exp","Unclear risk of bias",4,0.037037037037037
"boundedness","High risk of bias",6,0.0555555555555556
"boundedness","Low risk of bias",3,0.0277777777777778
"boundedness","Unclear risk of bias",3,0.0277777777777778
"design_type","High risk of bias",8,0.0740740740740741
"design_type","Low risk of bias",4,0.037037037037037
"funding","High risk of bias",6,0.0555555555555556
"funding","Low risk of bias",4,0.037037037037037
"funding","Unclear risk of bias",2,0.0185185185185185
"incomplete_outcome_data","Low risk of bias",12,0.111111111111111
"peer_reviewed","High risk of bias",1,0.00925925925925926
"peer_reviewed","Low risk of bias",10,0.0925925925925926
"peer_reviewed","Unclear risk of bias",1,0.00925925925925926
"proximity_distality","High risk of bias",6,0.0555555555555556
"proximity_distality","Low risk of bias",3,0.0277777777777778
"proximity_distality","Unclear risk of bias",3,0.0277777777777778
"reporters_familiarity","Low risk of bias",4,0.037037037037037
"reporters_familiarity","Unclear risk of bias",8,0.0740740740740741
"same_setting","Low risk of bias",11,0.101851851851852
"same_setting","Unclear risk of bias",1,0.00925925925925926
