"Indicators","Risks","Count","Proportion"
"asd_exp","High risk of bias",3,0.0114942528735632
"asd_exp","Low risk of bias",13,0.0498084291187739
"asd_exp","Unclear risk of bias",13,0.0498084291187739
"boundedness","High risk of bias",19,0.0727969348659004
"boundedness","Low risk of bias",1,0.00383141762452107
"boundedness","Unclear risk of bias",9,0.0344827586206897
"design_type","High risk of bias",20,0.0766283524904215
"design_type","Low risk of bias",9,0.0344827586206897
"funding","High risk of bias",11,0.0421455938697318
"funding","Low risk of bias",15,0.0574712643678161
"funding","Unclear risk of bias",3,0.0114942528735632
"incomplete_outcome_data","High risk of bias",2,0.00766283524904215
"incomplete_outcome_data","Low risk of bias",27,0.103448275862069
"peer_reviewed","High risk of bias",2,0.00766283524904215
"peer_reviewed","Low risk of bias",25,0.0957854406130268
"peer_reviewed","Unclear risk of bias",2,0.00766283524904215
"proximity_distality","High risk of bias",17,0.0651340996168582
"proximity_distality","Low risk of bias",4,0.0153256704980843
"proximity_distality","Unclear risk of bias",8,0.0306513409961686
"reporters_familiarity","Low risk of bias",15,0.0574712643678161
"reporters_familiarity","Unclear risk of bias",14,0.053639846743295
"same_setting","Low risk of bias",23,0.0881226053639847
"same_setting","Unclear risk of bias",6,0.0229885057471264
